fetched_at,corridor,road_segment,travel_time_mins,last_update
2026-08-01T01:11:59.931Z,16 Avenue,WB 16 Ave: Stoney Tr NE to Valley Ridge Bv NW via 16 Ave,31,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,16 Avenue,WB 16 Ave: Stoney Tr NE to Valley Ridge Bv Via Stoney Tr,27,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,NB Crowchild Tr: 50 Ave SW to 24 Ave NW,8,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,NB Crowchild Tr: 50 Ave SW to Memorial Dr NW,4,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,NB Crowchild Tr: Glenmore Tr SW to 24 Ave NW,10,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,SB Crowchild Tr: 12 Mile Coulee Rd NW to Glenmore Tr SW,17,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,SB Crowchild Tr: 12 Mile Coulee Rd NW to Memorial Dr NW,13,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,SB Crowchild Tr: 24 Ave NW to 17 Ave SW,6,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,SB Crowchild Tr: 24 Ave NW to Glenmore Tr SW,10,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,SB Crowchild Tr: 33 Ave SW to Deerfoot Tr SE,7,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Crowchild Trail,SB Crowchild Tr: 33 Ave SW to Glenmore Tr SW,3,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: 17 Ave SE to Airport Tr NE,8,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: 17 Ave SE to Stoney Tr NE,11,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: 274 Ave S to City Centre via Deerfoot Tr,29,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: 32 Ave NE to Airport Tr NE,4,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: 32 Ave NE to Stoney Tr NE,7,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: 8 Ave NE to Airport Tr NE,6,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: 8 Ave NE to Stoney Tr NE,9,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: Anderson Rd SE to Airport Tr NE,16,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: Anderson Rd SE to Memorial Dr SE,10,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: Cranston Ave SE to Memorial Dr SE,19,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: Cranston Ave SE to Southland Dr SE,11,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: Glenmore Tr SE to Airport Tr NE,11,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: Glenmore Tr SE to Memorial Dr SE,5,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,NB Deerfoot Tr: Glenmore Tr SE to Stoney Tr NE,13,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: 17 Ave SE to Anderson Rd SE,14,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: 17 Ave SE to Stoney Tr SE,19,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: 64 Ave NE to Anderson Rd SE,20,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: 64 Ave NE to Memorial Dr SE,5,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: 8 Ave SE to Glenmore Tr SE,11,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: 8 Ave SE to Stoney Tr SE,19,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: Airport Tr NE to Anderson Rd SE,22,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: Airport Tr NE to Memorial Dr SE,7,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: Balzac  to Stoney Tr SE via Deerfoot Tr,31,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: Peigan Tr SE to Anderson Rd SE,11,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Deerfoot Trail,SB Deerfoot Tr: Peigan Tr SE to Stoney Tr SE,15,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Glenmore Trail,EB Glenmore Tr: Crowchild Tr SW to Deerfoot Tr SE,5,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Glenmore Trail,WB Glenmore Tr: Odgen Rd SE to Bow Trail SW,10,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Glenmore Trail,WB Glenmore Tr: Odgen Rd SE to Crowchild Tr SW,7,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Macleod Trail,NB Macleod Tr: 274 Ave S to City Centre via Macleod Tr,29,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Macleod Trail,NB Macleod Tr: Anderson Rd SE to 7 Av SE,16,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Macleod Trail,NB Macleod Tr: Anderson Rd SE to Blackfoot Tr SW,25,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Macleod Trail,NB Macleod Tr: Anderson Rd SE to Crowchild Tr SW,10,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Macleod Trail,NB Macleod Tr: N of 25 Ave S to City Centre,3,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,EB Stoney Tr: Chaparral Blvd SE to 16 Ave NE,17,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,EB Stoney Tr: Chaparral Blvd SE to Glenmore Tr SE,9,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,EB Stoney Tr: Harvest Hills Blvd NW to 16 Ave NE,13,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,EB Stoney Tr: Harvest Hills Blvd NW to Glenmore Tr SE,19,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,EB Stoney W : Sarcee Tr NW to 16 Ave NE,18,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,EB Stoney W : Sarcee Tr NW to Deerfoot Tr N,7,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,NB Stoney Tr: 114 Ave SE to 16 Ave NE,11,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,NB Stoney Tr: 114 Ave SE to Deerfoot Tr NE,22,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,NB Stoney Tr: McKnight Blvd NE to Crowchild Tr NW,20,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,NB Stoney Tr: McKnight Blvd NE to Deerfoot Tr N,9,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,NB Stoney Tr: Peigan Tr SE to Deerfoot Tr NE,18,2026-07-31T19:04:01.000
2026-08-01T01:11:59.931Z,Stoney Trail,NB Stoney Tr: Peigan Tr SE to McKnight Blvd NE,9,2026-07-31T19:04:01.000
