fetched_at,corridor,road_segment,travel_time_mins,last_update
2026-09-01T01:50:19.376Z,16 Avenue,WB 16 Ave: Stoney Tr NE to Valley Ridge Bv NW via 16 Ave,31,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,16 Avenue,WB 16 Ave: Stoney Tr NE to Valley Ridge Bv Via Stoney Tr,27,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,NB Crowchild Tr: 50 Ave SW to 24 Ave NW,7,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,NB Crowchild Tr: 50 Ave SW to Memorial Dr NW,4,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,NB Crowchild Tr: Glenmore Tr SW to 24 Ave NW,9,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,SB Crowchild Tr: 12 Mile Coulee Rd NW to Glenmore Tr SW,17,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,SB Crowchild Tr: 12 Mile Coulee Rd NW to Memorial Dr NW,12,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,SB Crowchild Tr: 24 Ave NW to 17 Ave SW,5,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,SB Crowchild Tr: 24 Ave NW to Glenmore Tr SW,9,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,SB Crowchild Tr: 33 Ave SW to Deerfoot Tr SE,8,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Crowchild Trail,SB Crowchild Tr: 33 Ave SW to Glenmore Tr SW,3,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Deerfoot Trail,NB Deerfoot Tr: 17 Ave SE to Airport Tr NE,9,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Deerfoot Trail,NB Deerfoot Tr: 17 Ave SE to Stoney Tr NE,12,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Deerfoot Trail,NB Deerfoot Tr: 274 Ave S to City Centre via Deerfoot Tr,28,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Deerfoot Trail,NB Deerfoot Tr: 32 Ave NE to Airport Tr NE,4,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Deerfoot Trail,NB Deerfoot Tr: 32 Ave NE to Stoney Tr NE,7,2026-08-31T19:44:03.000
2026-09-01T01:50:19.376Z,Deerfoot Trail,NB Deerfoot Tr: 8 Ave NE to Airport Tr NE,7,2026-08-31T19:44:03.000
